 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer name,Project Name,Starting price (Minimum price in project),Down Payments ( the lowest Down payment ) ,Installment years ( the max installment years ) ,,Available types,,,,"Selling points ( Fully Finished, ready to move, ....) ",,,,,,,,,,,,,,,,
Palm Hills ,Palm Hills One ,49 Million ,"5% , 5% after 3 months",8 Years,,Town House ,Twin House ,Villas,One Storey Villas,"100% Villas , Palm Hills old phase Extension , next to Golf Views , The Crown , Golf Central , New Giza",,,,,,,,,,,,,,,,
,,,,,,Middle 49m,Twin House1 70m,Villa1   235m ,Villa A   340m,,,,,,,,,,,,,,,,,
,,,,,,Corner 52m,Twin House2 58m,Villa2   144m,Villa B   207m,,,,,,,,,,,,,,,,,
,,,,,,,,Villa3    95m,Villa C   128m,,,,,,,,,,,,,,,,,
,,,,,,,,,Villa D    88m ,,,,,,,,,,,,,,,,,
Palm Hills ,Jirian,7.4M,5.00%,8 years,,Apartments ,Town Houses,villas,Duplex,"All types are fully finished,",,,,,,,,,,,,,,,,
,,,,,,1 bedroom 7.4M,sold out,33M,20.8M,,,,,,,,,,,,,,,,,
,,,,,,2 bedrooms 12M,,,23.2M,,,,,,,,,,,,,,,,,
,,,,,,3bedrooms 15.8M,,,,,,,,,,,,,,,,,,,,
,,,,,,4 bedrooms 30m,,,,,,,,,,,,,,,,,,,,
Palm Hills ,Hacienda Blue,19.7m,"2.5% , 2.5% after 3 months",12 years,,Cabins,Chalet,Townhouse,Villas,,,,,,,,,,,,,,,,,
,,,,,,19.7,22.4m,34.4m,67m,,,,,,,,,,,,,,,,,
,,,,,,23.7m,26.7m,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Hills ,Hacienda Waters,13m,"2.5% , 2.5% after 3 months",12 years,,Cabins,Villas,,,,,,,,,,,,,,,,,,,
,,,,,,1bed 13m,2nd row 69.8m,,,,,,,,,,,,,,,,,,,
,,,,,,2bed 16m,1st row 106m,,,,,,,,,,,,,,,,,,,
,,,,,,3bed 19.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Hills ,97 Hills,25.9 Million,,10 Years ,,Family Home,Town House ,Twin House ,Villas,"100% Villas , Palm Hills old phase Extension , next to Golf Views , The Crown , Golf Central , New Giza",,,,,,,,,,,,,,,,
,,,,,,FH penthouse 26.3m,Middle 32m,37.4m,Villa A   60.9m,,,,,,,,,,,,,,,,,
,,,,,,FH Garden 27.1m,Corner 35.3m,,Villa B   46.8m,,,,,,,,,,,,,,,,,
,,,,,,,,,Villa C   36.9m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Hills ,Village De La Capitale,6.8 Million,1.50%,12 Years Back loaded payment ,,Apartments ,Town Houses,villas,,"G+2 , 80% VILLAS ONLY , near to masged el fath , directly on green river",,,,,,,,,,,,,,,,
,,,,,,1 bedroom 6.8m,Middle 22m,Type C 28.8m,,,,,,,,,,,,,,,,,,
,,,,,,2 bedrooms 10.4m,Corner 24.5m,Type B 35m,,,,,,,,,,,,,,,,,,
,,,,,,3 bedrooms 13.5,,Type A 40.5m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Hills ,palmhills new cairo,9.3m,3%,10 Years Installments Backloaded,,Apartments ,Town Houses,villas,,"Apartments fully finished, ",,,,,,,,,,,,,,,,
,,,,,,1bed 9.3m,29.6m,80m,,,,,,,,,,,,,,,,,,
,,,,,,2bed 14.5m,,,,,,,,,,,,,,,,,,,,
,,,,,,3bed 21.4m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
